"time","intercept","intercept_se","sigma2","lambda","lambda_se","lambda_p_value","significance_code"
208,-0.54567212792227,0.07192385172983,0.242317270991417,0.0686937317333203,0.0562204501046803,0.303192967529541," "
210,-0.147000903066142,0.0669059438916012,0.227653233039367,0.0556614936429325,0.0640506395862222,0.43646868771274," "
212,-0.532582626001139,0.0812742023998465,0.271891244267871,0.0871384187359235,0.0461125293078464,0.167647154321458," "
214,0.115392881198176,0.0851799797420308,0.350212494828055,0.0640659209878461,0.0604879943265305,0.359758485296911," "
216,-0.126084454523855,0.0782712903024021,0.231030627440126,0.0983418895677753,0.0351322167179604,0.0798448692383211,"."
218,0.544650871499808,0.0958074893573842,0.334230503135051,0.102557725779775,0.0342686203067314,0.106650606156773," "
220,0.194360348947353,0.0725176504617557,0.213052843036769,0.089241846596346,0.0406972988677657,0.115034931404365," "
222,0.614249230575446,0.0876980611154808,0.354869794234911,0.0709700726141635,0.0546332569184001,0.28005785301467," "
224,0.349998920029766,0.0697046873271579,0.312362812642582,0.0120493321565633,0.0763688838303046,0.878832253670697," "
226,0.625488477933842,0.082745849034331,0.42019966036946,0.0215226978395537,0.0775161585230064,0.785634027643481," "
228,0.387408401971671,0.0853343541359162,0.487885638674229,0.00324904723169195,0.0685963315141024,0.968462788122827," "
230,0.70611424386523,0.0901826840934806,0.378743198744621,0.0695806060323735,0.0609044323705108,0.335526724516143," "
232,0.450564712046665,0.110776109281865,0.469301811473463,0.0966113314557736,0.0364831844403841,0.0870116721315951,"."
234,0.824297210363188,0.0996136482974937,0.366790783767176,0.100765747187553,0.0305644458186172,0.0437234289848359,"*"
236,0.175380456295874,0.130436051158464,0.529425870937513,0.119747172363248,0.0089628765884709,0.00219101882501704,"**"
238,0.539659404125983,0.105559321635689,0.370404514123531,0.112851657222019,0.0196144915019801,0.0365855637320288,"*"
240,-0.0678352218832661,0.129923727687284,0.518958368004651,0.120962141593971,0.00712750184801376,0.000698641696869284,"***"
242,0.350437964746739,0.0958468209890226,0.306841959701697,0.112334452425514,0.0202370486050359,0.0352029183613829,"*"
244,0.103558940348721,0.116861523075088,0.442641165669412,0.115544755193949,0.0149225086391408,0.00752908109493267,"**"
