"CAC-L","CMF-L","CCM-L","CNU-L","ETL-L","FPL-L","FSF-L","IPL-L","ITL-L","ISL-L","IMC-L","LOL-L","LOF-L","LGL-L","MOF-L","MTL-L","PHL-L","PCL-L","PPS-L","POS-L","PTS-L","PCR-L","PTC-L","PCC-L","PRC-L","PCN-L","RAC-L","RMF-L","SFL-L","SPL-L","STL-L","SML-L","TPP-L","TTL-L","CAC-R","CMF-R","CCM-R","CNU-R","ETL-R","FPL-R","FSF-R","IPL-R","ITL-R","ISL-R","IMC-R","LOL-R","LOF-R","LGL-R","MOF-R","MTL-R","PHL-R","PCL-R","PPS-R","POS-R","PTS-R","PCR-R","PTC-R","PCC-R","PRC-R","PCN-R","RAC-R","RMF-R","SFL-R","SPL-R","STL-R","SML-R","TPP-R","TTL-R"
0,0,0,353,9,0,5,8,1,3,25,158,0,125,2,0,0,18,0,0,2,72,0,3,2,184,0,2,7,42,20,0,30,0,0,0,0,1209,0,0,54,8,21,2,32,742,28,1264,0,11,0,23,3,39,6,845,0,0,0,168,0,56,6,154,8,0,3,0
0,0,0,1,0,5,7,0,0,0,8,0,0,1,1,0,9,0,0,0,0,0,12,2,38,49,1,13,35,7,3,0,10,0,0,3,0,1,0,67,75,190,110,565,0,0,9,0,17,32,72,0,133,17,186,0,3259,1,3447,220,1,988,344,1205,176,2314,3,34
221,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,235,0,0,0,0,0,9,1294,46,315,1,0,624,2,0,0,0,0,194,0,0,24,0,0,0,0,0,0,272,0,0,10,0,0,380,0,0,0,0,0,1,1172,25,745,0,0,604,0,0,0,0,0
0,3,0,0,0,0,10,0,0,0,0,0,0,0,6,0,755,0,0,0,9,0,53,21,690,8,1,8,983,12,0,0,17,0,0,1745,0,0,1,2,27,1135,763,622,0,11,11,1,10,735,490,0,949,55,89,0,3447,25,4259,131,1,742,1542,857,421,1483,0,52
331,0,0,66,12,17,15,38,1,2,349,34,7,91,79,1,386,6,0,3,0,26,1,464,29,3155,66,78,499,116,7,0,69,0,493,0,0,1184,11,4,287,158,106,1,851,14,4,352,23,3,239,333,1,1,0,168,220,745,131,3147,225,40,870,818,15,21,106,0
1,1,0,0,3,9,11,7,0,0,7,3,3,2,109,9,0,2,0,0,0,0,0,1,0,21,206,9,25,141,9,0,220,0,78,0,0,6,4,0,8,0,5,0,8,0,0,1,339,0,0,4,0,0,0,0,1,0,1,225,218,3,337,1,0,0,6,0
0,0,0,16,0,44,7,6,0,0,0,39,0,24,33,2,7,0,0,1,0,0,34,0,8,47,2,392,126,147,3,0,23,0,0,2227,0,1,8,219,81,76,195,20,0,376,1060,328,269,150,2,12,373,612,901,56,988,0,742,40,3,7219,2542,603,427,12,363,0
38,8,1,10,1,14,39,10,4,0,15,63,7,12,306,4,69,1,2,0,9,1,59,27,379,93,198,194,6955,133,9,0,140,0,383,2875,0,50,0,25,256,110,479,8,110,66,0,17,190,164,626,77,219,64,432,6,344,604,1542,870,337,2542,6181,436,89,84,73,6
0,0,0,300,5,6,48,16,10,18,11,88,1,164,26,1,7,18,1,1,2,99,15,2,11,183,1,85,27,131,44,0,113,1,0,14,0,297,4,56,757,2403,844,209,6,341,120,166,96,669,9,46,201,148,748,154,1205,0,857,818,1,603,436,3461,2901,579,61,43
0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,5,3,0,0,0,0,0,0,17,0,0,0,13,98,821,88,1202,0,402,801,55,30,2577,0,17,202,278,242,8,176,0,421,15,0,427,89,2901,4244,1402,82,133
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,1,3,0,2,5,0,0,0,3,0,0,2,0,0,0,1,55,938,57,348,0,1,0,0,1,441,1,0,136,104,111,0,2314,0,1483,21,0,12,84,579,1402,3566,0,131
0,0,0,38,1,2,2,0,0,0,2,9,6,6,27,0,0,1,0,0,0,3,0,0,2,5,6,17,2,11,13,0,57,0,0,0,0,3,284,28,1999,18,359,8,3,37,259,16,280,263,1,286,0,9,0,3,3,0,0,106,6,363,73,61,82,0,215,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,253,0,0,1,0,0,12,0,0,37,9,27,0,34,0,52,0,0,0,6,43,133,131,0,20
